PEDIGREE,Range,Row,Rep,PLOT,TEST,Rust.1,Rust.2,Range_Row,Row.Odd
((GP739GTCBLLBL)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-1-3-1),20,7,2,163,INEW,7,60,20_7,7
((GP724GTCBLL)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-2-1-B2),20,9,2,164,INEW,8,80,20_9,9
((((((TX772W/RedStalker-6)//TX772W)///TX772W)-B2////TX772W)-1-B4-B5-1-B11-B17)/LH195RR),20,11,2,165,INEW,8,70,20_11,11
((Tx782; (LAMA2002-12-1-B/(CML 325/B104)-B-1-B-B-B-B)-B-B2-3-2-B-B-B-1-B--B4-B11-B14-B8-B10)/Tx779),20,13,2,166,INEW,5,40,20_13,13
(((CML 108/Mp715)/(A6 /Tzi 8)/(Tzi 18/Ki3)/(NC334/Hi27)-238-1-1-1-B9)/Tx779),20,15,2,167,INEW,3,12,20_15,15
(((NC300 x Tx714-B/B104-1/CML343)-2-1-B-B-B-B-B-B-B-B-1-B25-B23-B22-B26-1-B13)/Tx779),20,17,2,168,INEW,4,15,20_17,17
(((LH195//LAMA2002-58-3-B-B-B-B-B-B-B18)-B3-6-1-1)/Tx779),20,19,2,169,INEW,5,45,20_19,19
((((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-21-3-1-1)/Tx779),20,21,2,170,INEW,8,45,20_21,21
((Tx781 /Tx790)-B2-2-B7)/Tx779,20,23,2,171,INEW,1,8,20_23,23
((Tx777/Tx775)-B5-15-1-1-1-B9-B36)/Tx779,20,25,2,172,INEW,4,30,20_25,25
(((Tx777/Tx775)-B5-12-2-1-1-B17)/LH195RR),20,27,2,173,INEW,8.5,60,20_27,27
((((Tx781 /Tx784))/(Tx781 /Tx789))-1-B16)/Tx779,20,29,2,174,INEW,4,9,20_29,29
((((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-1-2-1-B1-B7)/LH195RR),20,31,2,175,INEW,8,85,20_31,31
((GP739GTCBLLBL)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-10-2-1-B9),20,33,2,176,INEW,8,60,20_33,33
((Tx779)/(Tx777/Tx775)-B5-39-1-2-B14),20,35,2,177,INEW,7,60,20_35,35
((4041-sib20/16-1-B9)/Tx779),20,37,2,178,INEW,6,35,20_37,37
((Tx777-B50)/GP722),20,39,2,179,INEW,15,98,20_39,39
((Tx777-B50)/GP737),20,41,2,180,INEW,17,99,20_41,41
